date,heure,timestamp,type,nom,velos_dispo,bornes_libres,total,taux_occupation_places,lat,lon
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",4,8,12,0.3333333333333333,43.605366,3.881346
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Comédie",6,13,20,0.35,43.608148,3.878778
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Hôtel de Ville",9,7,16,0.5625,43.599088,3.894866
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Corum",2,10,12,0.16666666666666666,43.613989,3.8816
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Place Albert 1er - St Charles",11,16,27,0.4074074074074074,43.616768,3.873375
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Foch",1,3,8,0.625,43.610989,3.873345
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Halles Castellane",0,12,12,0.0,43.609935,3.877208
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Observatoire",3,4,8,0.5,43.606301,3.87724
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Rondelet",6,10,16,0.375,43.603038,3.875796
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Plan Cabanes",5,7,12,0.4166666666666667,43.608491,3.868389
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Boutonnet",11,1,12,0.9166666666666666,43.622629,3.868375
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Emile Combes",4,4,8,0.5,43.616742,3.87998
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Beaux-Arts",12,3,16,0.8125,43.616698,3.884981
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Les Aubes",8,0,8,1.0,43.618692,3.893844
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Antigone centre",7,5,12,0.5833333333333334,43.607942,3.890634
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Médiathèque Emile Zola",7,9,16,0.4375,43.608218,3.89314
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Nombre d Or",6,10,16,0.375,43.607859,3.886644
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Louis Blanc",6,10,16,0.375,43.614642,3.877648
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Gambetta",5,3,8,0.625,43.607106,3.870693
2026-01-09,00:32:27,2026-01-09T00:32:27+01:00,STATION,"Port Marianne",9,7,16,0.5625,43.60032,3.89851
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",1,11,12,0.08333333333333333,43.605366,3.881346
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Comédie",3,16,20,0.2,43.608148,3.878778
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Hôtel de Ville",9,7,16,0.5625,43.599088,3.894866
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Corum",3,9,12,0.25,43.613989,3.8816
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Place Albert 1er - St Charles",10,17,27,0.37037037037037035,43.616768,3.873375
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Foch",1,3,8,0.625,43.610989,3.873345
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Halles Castellane",0,12,12,0.0,43.609935,3.877208
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Observatoire",3,4,8,0.5,43.606301,3.87724
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Rondelet",6,10,16,0.375,43.603038,3.875796
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Plan Cabanes",6,6,12,0.5,43.608491,3.868389
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Boutonnet",12,0,12,1.0,43.622629,3.868375
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Emile Combes",5,3,8,0.625,43.616742,3.87998
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Beaux-Arts",11,4,16,0.75,43.616698,3.884981
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Les Aubes",8,0,8,1.0,43.618692,3.893844
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Antigone centre",8,4,12,0.6666666666666666,43.607942,3.890634
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Médiathèque Emile Zola",6,10,16,0.375,43.608218,3.89314
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Nombre d Or",6,10,16,0.375,43.607859,3.886644
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Louis Blanc",1,15,16,0.0625,43.614642,3.877648
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Gambetta",5,3,8,0.625,43.607106,3.870693
2026-01-09,04:59:03,2026-01-09T04:59:03+01:00,STATION,"Port Marianne",10,6,16,0.625,43.60032,3.89851
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",1,11,12,0.08333333333333333,43.605366,3.881346
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,STATION,"Comédie",3,16,20,0.2,43.608148,3.878778
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,STATION,"Hôtel de Ville",9,7,16,0.5625,43.599088,3.894866
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,STATION,"Corum",3,9,12,0.25,43.613989,3.8816
2026-01-09,06:03:38,2026-01-09T06:03:38+01:00,STATION,"Place Albert 1er - St Charles",10,17,27,0.37037037037037035,43.616768,3.873375
